"","track","artist","genre","mode","popularity","tempo","energy","danceability","loudness","speechiness","acousticness","liveness","instrumentalness","valence","duration"
"596","Still Be Friends (feat. Tory Lanez & Tyga)","G-Eazy","Hip Hop",0,85,104,0.759,0.803,-4.692,0.0494,0.00509,0.0921,0,0.284,213308
"597","Not Over You - Recorded at Sound Stage Studios Nashville","Brett Young","Country",1,59,141.913,0.808,0.598,-6.875,0.0602,0.116,0.305,0,0.571,215282
"598","South of the Border (feat. Camila Cabello & Cardi B)","Camila Cabello","Pop",0,85,97.986,0.621,0.857,-6.376,0.0824,0.148,0.0865,0,0.668,204467
"599","Chillin' It","Cole Swindell","Country",1,62,137.982,0.849,0.576,-3.057,0.0386,0.511,0.109,3.89e-05,0.666,196747
"600","Trojans","Atlas Genius","Alternative/Reggae",1,59,140.002,0.822,0.721,-4.843,0.0391,0.0113,0.0898,7.01e-05,0.536,217387
"601","Die A Happy Man","Thomas Rhett","Country",1,75,166.052,0.389,0.595,-9.245,0.0349,0.418,0.116,1.39e-06,0.4,227427
"602","Drown (feat. Clinton Kane)","Martin Garrix","Electronic Dance",1,81,120.077,0.739,0.573,-5.455,0.0581,0.212,0.175,0,0.363,174062
"603","What You Know","Two Door Cinema Club","Alternative/Reggae",0,67,139.001,0.741,0.561,-4.239,0.0419,0.000715,0.0822,1.4e-05,0.776,191707
"604","Wonder (feat. The Kite String Tangle)","Adventure Club","Electronic Dance",0,47,123,0.809,0.655,-3.678,0.0334,0.0426,0.286,0.000505,0.272,291225
"605","1, 2, 3 Mississippi","Brett Young","Country",1,35,155.974,0.751,0.596,-6.233,0.0355,0.00878,0.0917,6.54e-06,0.757,207307
"606","All In My Head (Flex) (feat. Fetty Wap)","Fifth Harmony","Pop",0,65,95.04,0.791,0.689,-5.194,0.053,0.023,0.0526,0,0.755,210573
"607","Nobody But You (Duet with Gwen Stefani)","Blake Shelton","Country",1,76,143.912,0.653,0.463,-5.515,0.0273,0.111,0.172,0.000136,0.233,194867
"608","FRIENDS","Marshmello","Electronic Dance",0,82,95.079,0.88,0.626,-2.384,0.0504,0.205,0.128,0,0.534,202621
"609","Complainer","Cold War Kids","Alternative/Reggae",1,58,99.996,0.462,0.709,-6.379,0.0338,0.335,0.116,1.48e-05,0.496,219573
"610","Something Just Like This","The Chainsmokers","Electronic Dance",0,82,103.019,0.635,0.617,-6.769,0.0317,0.0498,0.164,1.44e-05,0.446,247160
"611","My Sweet Summer","Dirty Heads","Alternative/Reggae",0,57,93.989,0.833,0.661,-4.466,0.0822,0.229,0.346,0,0.635,202632
"612","Without Me - ILLENIUM Remix","ILLENIUM","Electronic Dance",1,64,136.004,0.71,0.639,-3.358,0.0479,0.483,0.219,2.22e-06,0.373,248906
"613","Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")","Kygo","Electronic Dance",0,77,121.799,0.705,0.591,-6.519,0.079,0.381,0.131,0.000116,0.27,215316
"614","Tell Me You Love Me","Demi Lovato","Pop",1,70,81.888,0.6,0.538,-5.463,0.0489,0.0273,0.147,0,0.26,236987
"615","U Played (feat. Lil Baby)","Moneybagg Yo","Hip Hop",1,77,134.965,0.847,0.874,-3.574,0.233,0.00341,0.29,0,0.881,164754
"616","Forever","Tory Lanez","Hip Hop",1,70,146.997,0.776,0.805,-6.006,0.139,0.000159,0.0502,0,0.172,172245
"617","I Do","Brett Young","Country",1,68,110.019,0.524,0.665,-9.404,0.0458,0.502,0.124,0,0.215,155822
"618","Beautiful People (feat. Khalid)","Khalid","Pop",0,80,92.977,0.648,0.64,-8.113,0.187,0.124,0.0802,0,0.548,197867
"619","Don’t Stop Get It (feat. Bok Nero)","Bear Grillz","Electronic Dance",1,41,149.964,0.701,0.912,-2.204,0.256,0.0184,0.073,0,0.521,168400
"620","I'm Yours","Jason Mraz","Alternative/Reggae",1,82,150.953,0.457,0.686,-8.322,0.0468,0.595,0.105,0,0.718,242187
